Name,ALMA_1a,ALMA_1b,ALMA_1c,ALMA_1d,ALMA_2a,ALMA_2b,ALMA_2c,ALMA_2d,ALMA_3a,ALMA_3b,ALMA_3c,ALMA_3d,ALMA_4a,ALMA_4b,ALMA_4c,ALMA_4d,ALMA_5a,ALMA_5b,ALMA_5c,ALMA_5d,ALMA_6a,ALMA_6b,ALMA_6c,ALMA_6d,ALMA_8a,ALMA_8b,LB_1a,LB_1b,LB_1c,LB_1d,Lomas_Bayas_3a,Lomas_Bayas_3b,Lomas_Bayas_3c,CAB_2a,CAB_2b,CAB_2c,CAB_2d,CAB_3b,CAB_3c,Y6-2a_,Y6-2b_,Y6-2c_,Y6-2d_,Y6-30a,Y6-30b,Y6-30c,Y6-30d,Y6-100a,Y6-100b,Y6-100c,Y6-100d,Chaxa_1-2a,Chaxa_1-2b,Chaxa_1-2c,Chaxa_1-2d,Chaxa_1-30a,Chaxa_1-30b,Chaxa_1-30c,Chaxa_1-30d,Chaxa_cyano_a,Chaxa_cyano_b,Chaxa_cyano_c,Chaxa_cyano_d,LM_1a,LM_1b,LM_1c,LM_1d,LM_2a,LM_2b,LM_2c,LM_2d,POP_1d,POP_2a,POP_2b,POP_2c,POP_2d,VDL_a,VDL_b,VDL_c,VDL_d,Y2a,Y2b,Y2c,Y2d
EF018137_g,0,1,5,2,0,2,2,1,0,0,0,0,1,1,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,5,128,109,1,8,3,4,3,1,9,5,0,0,3,8,2,5,3,17,0,4,0,0,1,1,3,2,5,2,3,1,3,5,27,3,10,4,170,131,134,182,10,6,2,10,4,3,0,0,0,0,1,1,1
Sanguibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,6,28,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,5,2,1,1,0,1,0,0,0,0,0,0,0,0,0,108,370,198,224
JF266448_g,1,0,19,27,20,16,8,5,3,4,111,124,37,61,53,39,3,2,6,9,9,3,3,1,4,16,4,0,16,1,0,10,9,29,3,4,5,0,0,0,2,8,4,0,0,2,0,24,8,33,9,4,16,23,22,0,28,23,39,0,13,17,4,0,0,0,0,1,1,0,0,1,0,2,25,9,1,2,19,16,0,0,0,0
Lysinimonas,5,17,5,2,5,0,4,0,21,14,7,4,0,1,3,0,18,15,7,19,18,1,4,3,0,0,2,3,10,4,0,1,7,63,4,17,16,10,17,1,1,5,8,0,0,0,0,56,4,37,2,33,10,16,14,0,10,19,13,0,39,36,3,4,0,2,4,4,4,0,2,25,0,0,6,9,0,18,18,11,20,116,48,37
Corynebacterium,0,0,0,0,1,0,4,0,4,2,0,0,0,0,0,0,2,2,1,2,1,1,0,0,0,0,1,1,4,1,1,11,8,2,0,1,0,9,30,2,0,7,31,0,0,0,0,9,28,45,26,4,4,26,8,0,13,52,3,0,7,10,1,3,1,1,1,1,1,0,0,44,0,1,17,17,1,74,55,46,23,151,84,67
HQ538692_g,26,20,7,10,9,1,1,1,4,3,1,0,0,0,1,3,24,5,19,10,10,5,12,10,17,18,2,27,0,9,0,4,10,86,7,24,4,0,0,3,1,13,6,0,1,0,0,91,17,31,0,34,10,27,10,0,16,12,20,0,49,52,3,0,0,0,0,0,0,0,2,14,0,0,7,12,0,11,19,13,2,3,1,1
Terrabacter,0,0,0,0,1,0,0,5,3,0,0,0,0,0,0,0,27,19,1,0,132,147,0,0,0,0,30,11,120,18,0,7,11,1,0,0,0,0,0,0,0,7,9,0,0,0,0,3,4,37,16,5,13,41,13,0,23,14,30,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,27,12,0,21,29,19,0,0,0,0
Amnibacterium,6,3,7,7,0,1,0,1,109,65,16,39,3,2,3,1,17,6,2,4,6,2,0,1,4,1,26,6,15,4,0,1,5,31,5,12,6,0,0,3,1,9,10,0,0,0,0,36,10,39,0,17,8,22,17,0,18,21,42,0,9,32,2,0,0,0,0,0,0,0,0,26,0,0,30,35,0,17,25,21,0,0,0,0
Ilumatobacter,0,0,1,0,10,0,6,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,3,1,0,0,0,0,2,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,3,0,7,0,4,73,33,4,0,4,2,0,0,0,2,0,191,153,84,140,25,29,18,34,0,0,1,1,0,1,0,14,0,0,1,1,0
Actinotalea,8,17,8,10,4,0,1,0,0,0,0,0,0,0,0,1,15,4,2,0,5,2,0,0,3,0,2,1,0,4,2,26,10,19,5,10,4,5,10,3,1,2,10,0,0,0,2,31,0,0,1,8,5,8,7,0,1,1,0,0,9,9,1,37,19,19,18,79,65,46,80,88,0,1,4,2,0,11,7,4,9,33,9,6
Microlunatus,4,4,34,30,43,39,18,45,10,8,2,0,15,7,10,8,2,9,4,9,5,3,1,1,1,5,1,2,5,1,0,1,4,10,0,0,2,0,0,0,0,16,13,0,0,0,0,10,8,40,0,10,10,23,6,0,7,24,32,0,11,31,3,0,0,1,0,0,0,0,0,28,0,0,11,11,0,12,6,9,0,0,0,0
Actinoplanes,89,44,3,20,3,1,4,3,11,19,21,17,14,15,4,10,3,2,5,7,2,5,7,5,1,2,1,4,3,7,0,4,6,18,4,4,11,0,0,0,0,9,3,0,0,0,0,8,2,1,0,9,8,25,9,1,17,11,26,0,8,16,1,1,0,1,0,1,0,0,0,20,0,0,3,12,0,10,8,9,2,10,16,7
Jatrophihabitans,0,1,1,0,0,0,2,0,74,35,68,62,13,4,28,33,2,1,3,2,8,9,3,5,3,0,6,0,7,5,1,3,11,4,0,1,0,0,0,1,1,10,7,0,0,0,0,0,1,28,0,9,10,17,10,0,31,25,23,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,6,16,0,6,7,10,0,0,0,0
EF516392_g,1,0,2,6,10,9,16,21,2,2,9,6,40,25,7,17,0,0,1,2,0,2,2,0,1,4,1,1,1,1,7,3,3,1,0,1,0,0,0,34,25,8,2,28,28,15,28,7,1,12,3,9,11,21,5,13,15,4,17,7,1,14,14,1,3,3,2,2,3,0,0,0,13,15,3,10,25,1,6,11,0,0,0,0
